,Ambient Pressure [Pa],dT [K],$r$ [m],Time_r [s]
0,370687.7551020408,32.04081632653062,1.0035626816726503e-06,1.6e-08
0,370687.7551020408,32.83673469387755,1.0036501234826432e-06,1.6e-08
0,370687.7551020408,33.63265306122449,1.0037375224901123e-06,1.6e-08
0,370687.7551020408,34.42857142857143,1.0038248789385731e-06,1.4000000000000001e-08
0,370687.7551020408,35.224489795918366,1.0039121921109603e-06,1.2000000000000002e-08
0,370687.7551020408,36.02040816326531,1.0039994613781774e-06,1.5000000000000002e-08
0,370687.7551020408,36.816326530612244,1.0040866867697027e-06,1.6e-08
0,370687.7551020408,37.61224489795919,1.0041738694423687e-06,1.7e-08
0,370687.7551020408,38.40816326530612,1.004261010978419e-06,1.7e-08
0,370687.7551020408,39.20408163265306,1.0043481124754041e-06,1.7e-08
0,370687.7551020408,40.0,1.0044351741596888e-06,1.5000000000000002e-08
0,376810.20408163266,1.0,1.0001126626228607e-06,4e-09
0,376810.20408163266,1.7959183673469388,1.0002022385005141e-06,7.000000000000001e-09
0,376810.20408163266,2.5918367346938775,1.000291738480426e-06,7.000000000000001e-09
0,376810.20408163266,3.387755102040816,1.000381176235236e-06,6.000000000000001e-09
0,376810.20408163266,4.183673469387755,1.0004705390839238e-06,8e-09
0,376810.20408163266,4.979591836734694,1.0005598413314996e-06,8e-09
0,376810.20408163266,5.775510204081632,1.0006490839583094e-06,7.000000000000001e-09
0,376810.20408163266,6.571428571428571,1.0007382570845908e-06,9.000000000000001e-09
0,376810.20408163266,7.36734693877551,1.000827370840148e-06,9.000000000000001e-09
0,376810.20408163266,8.16326530612245,1.000916429330857e-06,5e-09
0,376810.20408163266,8.959183673469388,1.0010054229273247e-06,1e-08
0,376810.20408163266,9.755102040816327,1.0010943544531858e-06,1e-08
0,376810.20408163266,10.551020408163264,1.0011832328614685e-06,9.000000000000001e-09
0,376810.20408163266,11.346938775510203,1.001272054055658e-06,9.000000000000001e-09
0,376810.20408163266,12.142857142857142,1.001360812115108e-06,1.1000000000000001e-08
0,376810.20408163266,12.938775510204081,1.0014495130113983e-06,1.1000000000000001e-08
0,376810.20408163266,13.73469387755102,1.0015381623209978e-06,1e-08
0,376810.20408163266,14.53061224489796,1.0016267557443546e-06,9.000000000000001e-09
0,376810.20408163266,15.326530612244898,1.001715289040216e-06,1.2000000000000002e-08
0,376810.20408163266,16.122448979591837,1.0018037665564216e-06,1.2000000000000002e-08
0,376810.20408163266,16.918367346938776,1.001892193436747e-06,1.2000000000000002e-08
0,376810.20408163266,17.714285714285715,1.0019805682692814e-06,8e-09
0,376810.20408163266,18.510204081632654,1.0020688866548114e-06,1.2000000000000002e-08
0,376810.20408163266,19.306122448979593,1.0021571490351082e-06,1.3e-08
0,376810.20408163266,20.10204081632653,1.0022453602186574e-06,1.3e-08
0,376810.20408163266,20.897959183673468,1.0023335229402737e-06,1.2000000000000002e-08
0,376810.20408163266,21.693877551020407,1.0024216349072894e-06,9.000000000000001e-09
0,376810.20408163266,22.489795918367346,1.00250969331162e-06,1.3e-08
0,376810.20408163266,23.285714285714285,1.0025976987275037e-06,1.4000000000000001e-08
0,376810.20408163266,24.081632653061224,1.0026856547400648e-06,1.4000000000000001e-08
0,376810.20408163266,24.877551020408163,1.0027735640020223e-06,1.4000000000000001e-08
0,376810.20408163266,25.6734693877551,1.0028614261015245e-06,1.1000000000000001e-08
0,376810.20408163266,26.46938775510204,1.002949238558154e-06,1.3e-08
0,376810.20408163266,27.26530612244898,1.0030370005153053e-06,1.5000000000000002e-08
0,376810.20408163266,28.06122448979592,1.0031247136299428e-06,1.5000000000000002e-08
0,376810.20408163266,28.857142857142858,1.0032123807485321e-06,1.5000000000000002e-08
0,376810.20408163266,29.653061224489797,1.003300003545096e-06,1.5000000000000002e-08
0,376810.20408163266,30.448979591836736,1.0033875816986088e-06,1.3e-08
0,376810.20408163266,31.244897959183675,1.0034751134383417e-06,1.2000000000000002e-08
0,376810.20408163266,32.04081632653062,1.0035625980465085e-06,1.5000000000000002e-08
0,376810.20408163266,32.83673469387755,1.0036500364219908e-06,1.6e-08
0,376810.20408163266,33.63265306122449,1.003737430670443e-06,1.6e-08
0,376810.20408163266,34.42857142857143,1.0038247826672376e-06,1.6e-08
